用户名,性别,身份证号,登录地区,登录设备,消费额
pinghuang,男,53032219850817****,重庆市,Android,747.5
min54,女,44140019880125****,云南,Android,0
qliu,0,43040020010318****,江西,iOS,-
ping79,女,42060719940517****,吉林,Android,59.6
xieyang,男,51112419850317****,河北,Android,-
leixia,女,13012919900908****,安徽,iOS,0
wanmin,女,15040319960509****,河南,Android,29.8
vlin,女,36102119820704****,四川,Android,0
yong30,男,22018120010227****,河北,Android,29.8
qbai,1,21140119961220****,陕西,Android,-
wei04,男,61052319891224****,安徽,Android,169.3
naxia,女,54233820010212****,山东,Android,348.2
pingren,女,35012219960416****,北京,iOS,0
denggang,女,44081120010717****,上海市,iOS,9.9
zwan,女,37082919990120****,安徽,Android,159.4
fengmin,女,45102919980518****,河南,iOS,-
xqiu,女,14098119790127****,上海,iOS,-
gang77,女,13092320030822****,吉林,Android,0
vyang,0,53012819970520****,广东,Android,29.7
minguo,0,15220019971015****,河南,Android,0
weiwei,男,14042319870810****,湖北,iOS,89.7
hzhong,女,23070319890611****,河北,Android,0
jiangyan,女,61082919970609****,江苏,iOS,29.8
juanding,男,61011320000422****,湖北,Android,0
leiguiying,男,11010919990606****,山东,iOS,79.3
jing53,女,51342319880518****,上海市,iOS,49.8
tao63,男,33102319781115****,贵州,Android,218.8
ming26,男,54233020000413****,浙江,Android,-
gongxiulan,男,51142219961114****,贵州,Android,9.9
nacheng,女,51081120010829****,四川,iOS,-
tao37,男,41130019970329****,广西,iOS,0
sxiong,女,43062419980125****,陕西,Android,-
wei94,女,35098119980425****,浙江,iOS,-
leijia,男,61082319960121****,江西,iOS,0
uhuang,男,36082519990814****,广东,iOS,9.9
li81,男,43092219960324****,天津,iOS,0
chenxiulan,男,33010220000506****,山东,Android,0
qiangren,男,51172220061221****,山东,Android,109.4
yanwei,男,32020320000702****,黑龙江,Android,0
xiulan00,女,37110320010327****,陕西,iOS,-
dhuang,女,37120119921021****,广东,Android,-
vsun,女,15012319901126****,山东,Android,19.9
caiping,0,43072320061225****,北京,iOS,199
guiyingli,女,37162119901125****,浙江,iOS,49.6
duantao,男,23038220030827****,湖北,Android,0
dongtao,女,23112419980921****,江西,iOS,0
mafang,女,63260019960224****,江苏,Android,79.8
xiasun,男,21028119860813****,广东,Android,9.9
gyuan,女,33048219970731****,江苏,iOS,199
weishi,女,21030120000303****,河北,iOS,0
wzou,1,44142720041201****,广东,Android,29.8
taogu,男,37068120000507****,浙江,iOS,9.9
zqiao,男,62082319960630****,安徽,Android,368.2
fshao,女,42011120021014****,福建,iOS,0
chaotan,女,61090119930213****,新疆,iOS,98.8
qiang42,男,44150020051103****,湖南,Android,139.1
jtan,男,14022620011201****,湖北,Android,0
ucheng,男,34110019930106****,四川,Android,89.6
wei51,女,34082520010711****,江苏,iOS,0
gang20,女,15050219960804****,贵州,Android,39.8
yanhan,女,43122419960205****,浙江,Android,79.7
zhuyan,女,43062119951101****,广东,iOS,-
maoming,女,37158120040104****,辽宁,Android,19.9
juanzhu,女,23081119970328****,河南,iOS,109.6
23894,女,37142120000416****,江西,Android,39.8
guiying69,女,63010319881029****,北京,Android,9.9
qqiu,女,42090120030406****,天津,Android,79.5
shenwei,男,43062319960914****,山东,Android,29.8
yeqiang,男,52042219980802****,海南,iOS,19.8
guiyingma,男,21112119961206****,黑龙江,Android,19.9
gcheng,男,62080119860826****,上海市,iOS,228.9
xiafang,1,33041119931231****,山东,Android,0
gliao,女,65292720010518****,青海,Android,0
tao85,女,31011720010609****,山东,iOS,-
taodeng,男,65900120000131****,福建,Android,19.9
taoma,男,22240019741030****,江苏,Android,49.6
dyin,女,31020019930418****,河南,Android,29.9
jie91,女,45000020010430****,河南,Android,0
chao96,男,34122519991113****,贵州,Android,0
mingsong,男,51011219990226****,黑龙江,Android,19.9
pzeng,女,51062320020124****,北京市,iOS,467.5
guoping,男,65312520060609****,上海市,Android,39.6
jyin,女,23010219990730****,广东,iOS,0
jieshao,女,42030119961129****,河北,Android,-
cliang,1,43122119950114****,安徽,iOS,0
leijie,男,43120019990611****,河南,Android,318.4
wei66,男,34070220051212****,河北,iOS,0
xiacao,女,44160220020829****,江苏,iOS,9.9
weiyang,女,54222520050409****,四川,iOS,79.3
ming86,0,46900119991217****,广东,Android,89.8
jwen,男,15090220041130****,广西,iOS,19.8
oyin,男,44512120000801****,广东,Android,159.2
qiuming,女,53342119970116****,山东,Android,19.9
xcui,男,52232320001010****,山东,Android,-
wzheng,男,32070519970327****,四川,Android,0
li72,男,65222219960930****,浙江,iOS,229
yanghu,男,23078120060607****,上海,Android,0
fang97,女,33050119970101****,四川,iOS,49.6
dinglei,男,44030620051024****,湖北,iOS,149.5
zhutao,女,13070120000425****,江苏,Android,39.8
fqin,女,65432519970725****,湖南,Android,19.9
yili,男,54242219990302****,辽宁,iOS,158.3
gfang,0,42030019960515****,福建,iOS,-
htang,1,65232820011203****,湖北,Android,0
li57,女,21020219961104****,黑龙江,Android,29.7
guiyingwu,女,36010519921122****,江苏,Android,0
xiaoli,女,54262419980520****,湖北,iOS,0
kongli,男,33010820010119****,福建,iOS,209.2
guiyingmo,女,21142120020325****,安徽,Android,0
yan54,男,53253219880813****,浙江,iOS,9.9
szhu,女,22052119980821****,浙江,iOS,-
huxiulan,女,41092219960120****,山东,Android,-
lingang,女,32131119890708****,广东,Android,0
23163,男,42092219960106****,上海市,iOS,0
kangxia,男,22070020051011****,上海,Android,0
juntan,女,62302420040426****,河北,Android,0
minliao,女,33078319960802****,吉林,Android,29.9
minlu,女,44512220010506****,浙江,iOS,517.2
44012,男,35010419890610****,山东,iOS,49.6
mingxiang,男,37172220040209****,河北,Android,0
aliao,1,41030320010916****,江苏,Android,9.9
chenglei,女,45070319861231****,江苏,iOS,39.8
yinyong,女,21021319800213****,山东,iOS,0
hlin,男,32108119960508****,广西,Android,79.3
ping40,女,36072720001205****,广东,iOS,169
jingzhou,1,33070119990518****,上海市,iOS,119.3
ming35,女,52020020001002****,山西,iOS,9.9
li91,男,46010720000808****,吉林,Android,19.8
dqiao,男,22020319831023****,河北,Android,259
mqian,女,42108319970616****,湖北,Android,248.5
tao09,女,21090120040406****,江苏,iOS,-
yongyu,女,36072419770102****,广东,iOS,119.6
tzhang,男,35030219950129****,河北,Android,9.9
ping98,女,51150219921217****,浙江,iOS,0
yfu,女,51332719990815****,河南,Android,0
minye,女,33048220040220****,湖南,Android,9.9
chaolei,女,51172219970324****,上海,Android,0
chaoshi,女,14042819991113****,贵州,iOS,118.8
pzhu,女,37108219980128****,浙江,iOS,208.8
jinghuang,女,51052220000123****,湖北,Android,0
fumin,女,45022519971107****,四川,Android,69.5
ping66,男,34132220000722****,天津,iOS,-
wenyang,男,36092119930722****,吉林,Android,9.9
minding,女,45022120000921****,天津,iOS,19.9
luli,女,43058120010519****,重庆,iOS,49.6
songxiuying,男,36010119970831****,广西,Android,0
yqiu,女,44010319980429****,北京,iOS,0
jie69,女,53062919950311****,湖南,Android,109.2
bchen,女,45060119960429****,宁夏,iOS,19.8
taoye,女,53312219991010****,西藏,Android,0
yanghan,男,33048120000808****,湖北,iOS,9.9
xiulan89,男,22028419910113****,浙江,Android,19.8
weina,0,14062219970519****,河南,Android,39.6
sxu,男,13080019960824****,江苏,iOS,9.9
juan41,男,53032119860812****,江西,iOS,9.9
jiajun,女,13013220001012****,广东,iOS,198.8
jie92,女,51152420010510****,黑龙江,Android,0
xiongyong,男,32020520041231****,河南,Android,59.7
ming23,女,41112219980602****,重庆市,iOS,79.5
fuxia,女,37068219931021****,辽宁,Android,-
gaoxia,女,61020319981201****,北京,Android,0
jzhang,女,54242420000920****,广东,iOS,9.9
ndong,女,42020219971224****,广西,Android,0
yren,男,34130019960301****,云南,iOS,-
gang36,0,42032319980904****,重庆,iOS,9.9
wangyong,男,13060019960217****,上海市,iOS,188.8
yanyan,男,41058119980306****,江西,Android,19.9
guiying88,女,32058319980509****,广西,iOS,0
pdong,女,44188119971101****,江苏,iOS,198.8
min10,女,37162419981028****,江苏,iOS,139.4
baiwei,男,63012319950418****,湖北,Android,-
mqiao,男,35030219961007****,四川,Android,9.9
yena,女,51322320020909****,广东,iOS,-
qiang79,女,36042320030324****,山东,Android,-
maofang,女,13020219990822****,安徽,iOS,0
xiongxiuying,1,63232120030306****,山东,Android,89.7
fangzeng,男,13112319990630****,贵州,Android,29.7
ujiang,男,45030419890205****,广东,iOS,0
xiayong,男,64050119870526****,广东,iOS,39.8
tangjing,女,21100320001016****,甘肃,Android,9.9
xiulanshi,女,61042319970509****,陕西,iOS,0
juan86,男,23010919981028****,河北,iOS,9.9
panming,女,32030020061223****,广西,iOS,0
bdeng,女,43062319940930****,河南,Android,0
leihe,男,51332719831121****,浙江,Android,19.9
zzhu,男,32020319970131****,浙江,Android,19.9
xshen,女,37172620030110****,北京,iOS,149.1
dduan,0,51052520001112****,福建,iOS,9.9
na42,男,41010019980306****,黑龙江,Android,-
jie83,男,63282120010115****,云南,Android,0
pxia,女,54000019980630****,湖北,iOS,-
guiying70,女,33032419970722****,辽宁,iOS,-
taolong,女,52273119801214****,广东,iOS,9.9
fanglong,女,13082320010126****,海南,iOS,19.9
qiang49,女,62100120020317****,北京,iOS,-
wei37,女,41172820000731****,上海,iOS,218.6
jyao,女,37120119980401****,广东,iOS,109.6
juansu,女,43010520010212****,陕西,Android,9.9
nayao,男,32061120040930****,辽宁,Android,29.7
pliang,男,13052220001219****,浙江,iOS,0
li39,男,62110220030707****,四川,iOS,0
mhou,女,52010219960920****,河北,Android,159.4
yanli,女,13040320010328****,江西,Android,-
kongmin,女,54262520000825****,甘肃,Android,0
gang49,女,61010219870515****,安徽,iOS,447.6
changxiuying,女,33012219960526****,广东,iOS,0
chaogao,女,32132219871209****,上海,iOS,0
xiaxue,男,14062119810314****,江西,Android,198.9
shenjun,0,42110019960718****,湖南,Android,-
litang,女,36072120010825****,江苏,iOS,99.3
pinghu,女,13042519970426****,湖北,iOS,89.6
xiewei,1,35092220030112****,黑龙江,Android,29.8
vzhang,男,42060620030228****,广东,iOS,19.8
ganggong,男,45088120020126****,安徽,Android,0
mgong,女,65432619981207****,上海,Android,-
mengjie,男,65400219980107****,重庆市,Android,0
guiyinglin,女,41050119900124****,四川,iOS,-
qiang17,男,51150019981231****,云南,Android,109.2
chaozhong,女,53290120020206****,湖南,Android,0
xiulan86,男,23018220010702****,江西,Android,169.2
jianglei,女,15090019991228****,福建,Android,19.8
yang68,女,44190120050508****,河南,iOS,0
zhuang,男,45102119861204****,浙江,iOS,0
li96,女,42030119830520****,陕西,Android,-
jie90,女,41020019980313****,河北,Android,0
dingyong,女,62122719990803****,山西,Android,0
taojin,男,53082719870823****,黑龙江,Android,0
min20,女,44011619970331****,河北,Android,19.8
chenyang,女,22050020051216****,湖南,iOS,-
xiulan07,男,43052920060730****,山东,Android,0
xiulan65,男,41022319830620****,北京,iOS,89.6
weiwan,男,53042119960713****,北京,Android,19.8
jing40,男,62122219770513****,广西,Android,0
chao89,女,37162420011011****,黑龙江,Android,0
xiulanfeng,女,13058220011002****,浙江,iOS,129.5
xiuyinglong,0,32082619850310****,浙江,iOS,109.4
leijun,男,13028120010505****,重庆,Android,69.8
shan,男,32030419970218****,广东,iOS,-
houyong,女,34162320010410****,山东,Android,499
juanyuan,男,21102119811210****,广东,iOS,19.9
zjiang,男,52018120000313****,陕西,Android,0
gangzeng,男,13058219961031****,河北,Android,0
eqiu,女,14060320021029****,安徽,Android,109.5
qiang97,女,37061120030528****,黑龙江,Android,0
izhu,男,13092719980516****,江苏,Android,69.5
guoxia,女,52262720010416****,江西,Android,19.8
li35,女,32040219930620****,广东,Android,29.7
tao40,男,42052819970513****,河南,Android,0
yang58,女,64032319920317****,北京,iOS,198.8
zliang,女,53293019991207****,福建,iOS,0
guiyingyang,0,33030020000622****,江西,Android,-
ganghuang,女,33078319920501****,浙江,iOS,369.1
ofang,女,33040019970918****,河南,Android,0
xiuying64,男,14112920001203****,江苏,iOS,348.3
mjin,男,63010019790629****,福建,Android,89.7
lei30,女,44060419790607****,江苏,Android,119.4
lwan,1,65232319931203****,江苏,Android,0
dongchao,男,32090119950101****,广东,iOS,0
chao18,女,62090219940730****,河北,Android,119.3
gongyan,女,21050420040820****,四川,Android,0
kongqiang,女,53070119840720****,福建,Android,0
ghou,女,37160020010427****,湖北,Android,69.8
dma,女,51150019990325****,广东,iOS,0
guoyang,女,13062120030313****,北京,Android,9.9
yangsu,男,21050219980301****,山东,Android,-
chaohan,女,15022219960101****,江苏,iOS,89.3
ligao,女,32110120000815****,山东,Android,0
ming38,女,22072319860911****,广东,iOS,-
yegang,女,15052520001027****,广东,iOS,209
zma,女,61032919980406****,云南,Android,39.7
kangjing,男,32130119930224****,江西,Android,-
liaowei,1,41142119770718****,山东,Android,318.1
jing19,男,46900519980920****,江苏,iOS,9.9
licui,男,51110019990515****,福建,iOS,0
lufang,女,41130120010421****,山东,Android,9.9
gangcheng,男,51130019961118****,黑龙江,Android,59.6
xiuying07,男,15252319990907****,河北,Android,9.9
juanqiao,女,61102120010821****,广东,Android,69.8
pengming,男,52018119961026****,黑龙江,Android,0
hmao,女,42090019750928****,安徽,Android,69.5
yancheng,女,14012119990601****,四川,Android,0
weili,男,41110319970730****,湖北,Android,0
dengxia,女,61080119970804****,云南,Android,-
limao,女,53082519801031****,北京市,iOS,0
yonggong,男,52011319960124****,四川,iOS,89.8
uxu,男,65422520000615****,江西,iOS,0
chao39,女,31012020010629****,湖南,Android,19.8
huangming,女,37063419910610****,江苏,iOS,0
xiuyingxia,0,12010520041023****,湖北,iOS,0
ezhao,女,33060119870710****,山东,iOS,89.3
jie15,女,41072619741030****,天津,iOS,159.4
fangma,1,44060719940129****,天津,iOS,119.3
tao71,男,45050120000328****,湖南,iOS,29.8
wanjing,女,45102620040708****,福建,iOS,-
jielai,女,41082520010409****,江苏,iOS,188.8
jingtan,女,15070119981005****,广东,iOS,29.9
wei38,男,34110019980102****,江苏,iOS,9.9
mindeng,女,36012119861231****,江苏,Android,119.2
kongxiuying,女,21120419990918****,广东,Android,0
jiangli,男,50023120050407****,江西,Android,19.9
fangming,男,41070419910119****,浙江,iOS,139.5
chengguiying,女,44522220051113****,吉林,iOS,0
mingchang,女,62020019980825****,山东,Android,0
duanxiulan,女,65020419991105****,安徽,iOS,0
qiang75,女,44050720000831****,江苏,iOS,0
qiangyao,女,43051119961106****,北京,iOS,49.7
xiaoxia,1,14082819971109****,江苏,iOS,89.3
mdai,男,13020319941127****,湖北,Android,0
fangwei,男,23128319860410****,江苏,Android,348.4
pzheng,男,43030019960726****,江西,iOS,0
nkang,男,23060519960603****,江西,Android,0
mingzheng,女,45031119990809****,上海,Android,0
yang50,男,22058219980515****,上海,Android,-
gang29,男,35092220000414****,四川,Android,-
qqiao,女,53090219900324****,广东,Android,-
hanlei,女,14100119850728****,内蒙古,Android,119.4
xiangguiying,女,41062219850104****,广东,Android,69.8
lilin,0,13102620011102****,山西,iOS,0
weixiang,女,51132120011227****,湖北,iOS,9.9
xiuyingshao,男,44158119880118****,河南,Android,0
qqian,0,15060019991109****,江苏,iOS,0
leisu,男,37082919890218****,浙江,Android,-
laichao,男,54232919891107****,浙江,iOS,19.9
xia00,男,44162420050610****,河南,Android,-
laijuan,女,31000019871002****,山东,Android,139.1
fanyan,女,52232519851027****,江西,iOS,59.7
weichao,女,43080019880619****,山东,Android,0
tmao,1,34010119850814****,四川,Android,208.9
tianyang,女,34000019890114****,安徽,iOS,9.9
juan61,女,35062219980314****,浙江,Android,79.8
yandeng,女,37172619741008****,北京,iOS,0
weihu,女,45070020010907****,福建,Android,0
qianfang,男,65272319860526****,浙江,Android,628.5
bqiao,男,54012619980718****,江苏,iOS,0
ilai,男,14058119890113****,广东,iOS,-
xiuyingqiao,女,61062119951211****,陕西,iOS,0
lei81,男,44162319931017****,辽宁,Android,-
ahao,女,14052219990428****,上海市,iOS,0
chao01,女,42108719971120****,河南,iOS,29.8
chaobai,男,54223119990530****,天津,Android,0
xialong,女,34112420021122****,安徽,Android,259
yong96,男,41070319980404****,北京市,Android,-
yang60,女,14082819960122****,江西,iOS,-
uxiang,男,41050119961013****,江苏,iOS,-
chenping,男,35062819970607****,湖南,iOS,29.8
xiongqiang,女,44162320000521****,重庆,iOS,29.7
pingcheng,0,43020119920916****,广东,iOS,258.7
yeli,女,52012219980504****,贵州,Android,-
minchen,男,13040319981027****,天津,iOS,89.6
fshen,男,37078619991021****,海南,iOS,0
fang15,男,22080019890127****,重庆,iOS,-
